Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
1,0,9597.79,-1942.51,-131.817,1.55738,0.903642,-0.775773,2.03366e-05,-2.06195e-05,-1.61305e-05,0,0,0,0,0,0,9105.32,-1169.62,3499.41,0.96816,1.36266,-0.1749,0,0,0,0,0,0,0,0,0
1,1,9584.29,-1948.19,-177.589,1.41483,0.814838,-0.880971,2.03455e-05,-2.06729e-05,-1.60771e-05,0,0,0,0,0,0,9118.9,-1138.13,3541.07,0.948265,1.19923,-0.115649,0,0,0,0,0,0,0,0,0
1,2,9581.51,-1952.74,-199.325,1.27946,0.72962,-0.942796,2.03544e-05,-2.07263e-05,-1.60237e-05,0,0,0,0,0,0,9133.91,-1113.93,3565.1,0.948193,1.05019,-0.0338593,0,0,0,0,0,0,0,0,0
1,3,9616.25,-1953.34,-136.937,1.16919,0.656951,-0.852818,2.03633e-05,-2.07797e-05,-1.59703e-05,0,0,0,0,0,0,9153.94,-1115.25,3527.44,1.0175,0.951477,0.12682,0,0,0,0,0,0,0,0,0
1,4,9644.55,-1962.95,-116.895,1.1499,0.600198,-0.830012,2.03722e-05,-2.08331e-05,-1.59169e-05,0,0,0,0,0,0,9151.68,-1134.31,3520.56,1.07689,0.875752,0.167404,0,0,0,0,0,0,0,0,0
1,5,9664.8,-1983.84,-149.787,1.24433,0.563337,-0.891172,2.03811e-05,-2.08865e-05,-1.58635e-05,0,0,0,0,0,0,9121.59,-1175.57,3552.16,1.12388,0.828758,0.0578665,0,0,0,0,0,0,0,0,0
1,6,9661.26,-1960.99,-186.433,1.34594,0.504997,-0.86761,2.039e-05,-2.09398e-05,-1.58102e-05,0,0,0,0,0,0,9114.07,-1172.43,3552.74,1.09334,0.886864,-0.0474248,0,0,0,0,0,0,0,0,0
1,7,9645.82,-1916.28,-224.958,1.45114,0.435918,-0.801687,2.03989e-05,-2.09932e-05,-1.57568e-05,0,0,0,0,0,0,9117.84,-1147.09,3537.82,1.02404,0.997522,-0.150593,0,0,0,0,0,0,0,0,0
1,8,9592.06,-1906.06,-184.292,1.25469,0.669081,-0.82509,2.03544e-05,-2.09768e-05,-1.57656e-05,0,0,0,0,0,0,9136.63,-1134.55,3529.34,0.993536,1.19834,-0.111538,0,0,0,0,0,0,0,0,0
